id,arcana,suit,number,name_ja,name_en,element,polarity,yes_no_upright,yes_no_reversed,timing,themes,keywords_upright,keywords_reversed,core_upright,core_past,core_present,core_future,interpretation_upright,angel_upright,action_upright,core_reversed,interpretation_reversed,angel_reversed,action_reversed,image
major_0,major,,0,愚者,The Fool,風,陽,Yes寄り,No寄り,早い,始まり|挑戦|自由,始まり|自由|信頼|冒険|直感|純粋|未知|可能性|解放|流れ,無計画|軽率|迷い|不安|停滞|恐れ|判断不足|逃避|不安定|慎重,"今は、新しい風があなたの前に吹き始めています。結果や完成を気にするよりも、まず「始めること」そのものに意味がある時です。怖さを感じても大丈夫。あなたは見えないところで守られ、流れに導かれています。","これまで、常識や枠にとらわれず、自分の感覚を信じて選択してきた流れがありました。","今は、先の保証がなくても一歩を選べる地点に立ち、可能性が大きく開かれています。","軽やかな選択を重ねることで、新しい展開が自然と動き出していくでしょう。","今は結果よりも、始めることに意味があります。","怖くても大丈夫。あなたは守られています。","小さな初めてを選びましょう。","立ち止まることも選択です。","慎重さが必要な時期です。","焦らなくて大丈夫です。","一晩置いて考えましょう。","major/00_Fool"
major_1,major,,1,魔術師,The Magician,風,陽,Yes,No,早い,創造|意志|始動,意志|創造|集中|表現|才能|行動|実行|始まり|言葉|力,迷い|空回り|未熟|自信不足|分散|誤用|焦り|過信|操作|不誠実,"今は、あなたの意志と才能が現実に働きかけ始める時です。頭の中にある考えや想いを、行動や言葉として外に出すことが焦点になります。完璧でなくて大丈夫。小さく使い始めることで、力は自然と整っていきます。","これまで、可能性やアイデアを内側で温め続けてきた流れがありました。","今は、意志を定め、一点に集中して動き始める地点にいます。","行動を重ねることで、自分の力を実感しながら流れを創っていくでしょう。","今は、自分の力を信じて使い始める時です。","あなたには、必要な道具と才能がすでに揃っています。","できることから一つ、形にしましょう。","自信を失い、力をうまく使えない状態です。","方向性が定まらず、力が分散しやすい時期です。","焦らなくて大丈夫です。","意図を整理してから動きましょう。","major/01_Magician"
major_2,major,,2,女教皇,The High Priestess,水,陰,保留,No,ゆっくり,内省|直感|静けさ,直感|沈黙|洞察|内面|神秘|受容|気づき|真実|感覚,混乱|疑念|閉鎖|不安|無視|鈍感|思い込み|遮断|逃避|不信,"今は、外に答えを求めるよりも、内側の感覚に耳を澄ませる時です。静けさの中に、本当の気持ちや真実が浮かび上がってきます。焦らず、答えが自然に現れるのを待ってみてください。","これまで、心の奥で感じていながら言葉にできない想いを抱えてきた背景があります。","今は、表に出す前に、内側で理解を深める必要がある地点にいます。","内なる声を信頼することで、迷いは次第に晴れていくでしょう。","今は、答えを急がず内側を見ることが大切です。","静けさの中に、真実はすでにあります。","心の声を書き留めてみましょう。","感覚を疑い、自分の内面から目を逸らしがちな状態です。","不安や雑念により、本質が見えにくくなっています。","無理に答えを出さなくて大丈夫です。","静かな時間を取り戻しましょう。","major/02_High_Priestess"
major_3,major,,3,女帝,The Empress,地,陰,Yes,Yes,ゆっくり,豊かさ|育む|愛,愛|受容|豊穣|創造|母性|安心|美|循環|成長,依存|怠惰|過保護|停滞|浪費|甘え|不安定|不足感|鈍化|偏り,"今は、与えることと受け取ることの循環が自然に起こる時です。あなたの中にある優しさや創造性が、周囲を温かく育てていきます。安心できる環境を整えることで、豊かさはさらに広がっていくでしょう。","これまで、誰かを支えたり、育てる役割を大切にしてきた流れがありました。","今は、自分自身にも愛とゆとりを注ぐ必要がある地点にいます。","満たされた状態から、新しい実りが自然と生まれていくでしょう。","今は、受け取ることを自分に許して大丈夫です。","あなたの存在そのものが、豊かさを生み出しています。","心地よい選択を一つ増やしましょう。","与えすぎて疲れ、バランスを崩しやすい状態です。","甘えと依存が境界を曖昧にしています。","自分を満たすことを優先して。","無理な世話焼きは手放しましょう。","major/03_Empress"
major_4,major,,4,皇帝,The Emperor,火,陽,Yes,No,ゆっくり,安定|秩序|責任,統率|構築|責任|基盤|安定|実行|現実|守る|決断,硬直|支配|頑固|恐れ|圧迫|独善|不安定|拒絶|混乱|防衛,"今は、現実的な基盤を整え、安定を築くことが求められる時です。感情だけでなく、責任や秩序を意識することが焦点になります。自分の立場を引き受けることで、周囲にも安心が広がっていくでしょう。","これまで、守るべき役割や責任を背負ってきた背景があります。","今は、揺らがない軸を定め、現実を整える地点にいます。","安定した基盤の上で、物事が着実に進展していくでしょう。","今は、現実的な判断を優先する時です。","あなたの決断が、安心を生み出します。","土台を整える行動を選びましょう。","柔軟さを失い、力で押し通そうとする状態です。","不安から支配的になりやすい傾向があります。","一人で背負わなくて大丈夫です。","信頼して任せる勇気を持ちましょう。","major/04_Emperor"
major_5,major,,5,教皇,The Hierophant,地,陽,Yes,保留,ゆっくり,学び|価値観|伝統,教え|信念|指針|理解|精神性|秩序|共有|知恵|導き,形式|盲信|硬直|依存|保守|疑念|拒絶|混乱|反発|閉塞,"今は、これまで受け取ってきた教えや価値観を見直し、自分の中に根づかせる時です。誰かの言葉や伝統の中に、今のあなたに必要な指針が隠れています。理解したことを、自分の言葉として受け取ってみてください。","これまで、誰かから学び、導きを受ける流れが続いていました。","今は、自分なりの信念として整理し直す地点にいます。","確かな価値観が、これからの選択を支えていくでしょう。","今は、学びを信頼して受け取る時です。","必要な導きは、すでに与えられています。","学んだことを実生活に活かしましょう。","外の価値観に縛られ、自分の感覚を見失いがちな状態です。","信じるべき指針が揺らいでいます。","疑問を持っても大丈夫です。","自分の言葉で確かめ直しましょう。","major/05_Hierophant"
major_6,major,,6,恋人,The Lovers,風,陽,Yes,No,早い,選択|結び|愛,選択|結合|調和|関係性|愛|共鳴|決断|価値観|一致,迷い|葛藤|不一致|依存|誘惑|優柔不断|分裂|誤選択|逃避|混乱,"今は、心から大切にしたいものを選び取る時です。頭ではなく、価値観や本心に沿った選択が、あなたを調和へと導きます。覚悟を持って選ぶことで、関係性はより深く結ばれていくでしょう。","これまで、いくつかの選択肢の間で揺れ動く流れがありました。","今は、自分の本心に正直な決断を求められる地点にいます。","誠実な選択が、人との絆や道筋を明確にしていくでしょう。","今は、心に正直な選択が大切です。","あなたの選択は、愛と調和につながっています。","自分の気持ちをはっきり伝えましょう。","決断を避け、関係性が曖昧になりやすい状態です。","依存や迷いが判断を鈍らせています。","急いで決めなくて大丈夫です。","本音と向き合いましょう。","major/06_Lovers"
major_7,major,,7,戦車,The Chariot,水,陽,Yes,No,早い,前進|意志|突破,前進|意志|勝利|集中|行動|突破|制御|決断|推進力,暴走|空回り|衝突|焦り|分裂|迷走|強引|疲弊|混乱|失速,"今は、意志を定めて前に進む力が高まる時です。感情や状況をうまく制御しながら、自分の進む方向を明確にすることが焦点になります。迷いを手放し、決めた道を信じて進んでいきましょう。","これまで、進みたい気持ちと不安の間で揺れる流れがありました。","今は、意志を一点に集中させ、行動へと移す地点にいます。","覚悟を持って進むことで、停滞は突破されていくでしょう。","今は、前進する意志を示す時です。","あなたには、乗り越える力があります。","決めたことをやり切りましょう。","勢いに任せて無理をしやすい状態です。","方向性が定まらず、空回りしています。","一度立ち止まって大丈夫です。","進む理由を確認しましょう。","major/07_Chariot"
major_8,major,,8,力,Strength,火,陰,Yes,保留,ゆっくり,内なる力|受容|勇気,内なる力|優しさ|忍耐|調和|受容|勇気|信頼|統合|穏やか,抑圧|無力感|自己否定|恐れ|感情過多|消耗|不安定|苛立ち|過剰制御|疲労,"今は、力で押し切るよりも、優しさと忍耐が本当の力になる時です。感情や本能を否定せず、穏やかに受け入れることが焦点になります。自分を信じ、丁寧に向き合うことで、状況は自然と調和していくでしょう。","これまで、強くあろうとして無理を重ねてきた背景があります。","今は、内側の力を信頼し、感情と調和する地点にいます。","穏やかな姿勢を保つことで、困難は次第に和らいでいくでしょう。","今は、優しさを力として使う時です。","あなたの内側には、十分な強さがあります。","自分に思いやりを向けましょう。","感情を抑え込み、苦しさを溜め込みやすい状態です。","自信を失い、本来の力を感じにくくなっています。","無理に強くならなくて大丈夫です。","心を緩める時間を持ちましょう。","major/08_Strength"
major_9,major,,9,隠者,The Hermit,地,陰,保留,No,ゆっくり,探求|内省|導き,内省|探求|知恵|静寂|成熟|洞察|真理|導き|理解,孤立|停滞|閉塞|迷い|拒絶|悲観|引きこもり|分断|恐れ|疑念,"今は、外の刺激から少し距離を置き、自分自身と向き合う時です。静かな時間の中で、本当に大切な答えが見えてきます。焦らず、自分の歩幅を取り戻してください。","これまで、答えを外に求めて動き続けてきた流れがありました。","今は、内側の声を確かめるために立ち止まる地点にいます。","内なる知恵に従うことで、次の道筋が静かに照らされるでしょう。","今は、一人の時間を大切にする時です。","あなたの内側には、確かな光があります。","静かな時間を確保しましょう。","孤立感が強まり、閉じこもりやすい状態です。","考えすぎて前に進めなくなっています。","無理に答えを出さなくて大丈夫です。","信頼できる人と話してみましょう。","major/09_Hermit"
